,point index,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
359,436,Hotel,Food & Drink Shop,Food,Asian Restaurant,Restaurant,Italian Restaurant,Coffee Shop,Athletics & Sports,Bar,
360,437,Bakery,Athletics & Sports,Japanese Restaurant,Italian Restaurant,Hotel,French Restaurant,Food & Drink Shop,Food,,
361,438,Bakery,Japanese Restaurant,French Restaurant,Food,,,,,,
362,439,French Restaurant,Hotel,Bakery,Café,Italian Restaurant,Food & Drink Shop,Food,Restaurant,,
363,440,French Restaurant,Hotel,Café,Restaurant,,,,,,
364,441,French Restaurant,Café,Outdoors & Recreation,Bar,,,,,,
365,442,French Restaurant,Plaza,Bar,Café,Food,,,,,
366,443,Nightlife Spot,French Restaurant,,,,,,,,
367,444,French Restaurant,Bar,Nightlife Spot,Hotel,Chinese Restaurant,,,,,
368,445,French Restaurant,Bakery,Hotel,Shop & Service,Plaza,Bar,Chinese Restaurant,,,
369,446,French Restaurant,Bakery,Plaza,Italian Restaurant,Hotel,Café,Food,,,
370,447,French Restaurant,Hotel,Italian Restaurant,Café,Plaza,Food,,,,
371,448,Hotel,French Restaurant,Food,Bar,Italian Restaurant,Café,Shop & Service,Nightlife Spot,Chinese Restaurant,
372,449,French Restaurant,Hotel,Shop & Service,Bar,Chinese Restaurant,Food,Restaurant,,,
373,450,Nightlife Spot,French Restaurant,Plaza,Bar,Italian Restaurant,Hotel,Restaurant,,,
374,451,Hotel,French Restaurant,Italian Restaurant,Bar,Asian Restaurant,Nightlife Spot,,,,
375,452,Hotel,French Restaurant,Italian Restaurant,Asian Restaurant,Bar,Food,Bakery,,,
376,453,French Restaurant,Food,Asian Restaurant,Hotel,Restaurant,Athletics & Sports,Bakery,Bar,Italian Restaurant,Department Store
377,454,French Restaurant,Athletics & Sports,Bakery,Bar,Italian Restaurant,Hotel,Food & Drink Shop,Restaurant,,
378,455,Hotel,Food,Athletics & Sports,Bakery,Outdoors & Recreation,Italian Restaurant,French Restaurant,Food & Drink Shop,,
379,456,Hotel,Food,French Restaurant,Outdoors & Recreation,Bar,Food & Drink Shop,,,,
380,457,Hotel,French Restaurant,Food,Outdoors & Recreation,Bar,Food & Drink Shop,,,,
381,458,Athletics & Sports,Food,,,,,,,,
382,460,Asian Restaurant,Bar,French Restaurant,,,,,,,
383,461,French Restaurant,Asian Restaurant,Bar,Chinese Restaurant,,,,,,
384,462,French Restaurant,,,,,,,,,
385,463,French Restaurant,Italian Restaurant,Hotel,Food,Coffee Shop,,,,,
386,464,Japanese Restaurant,Italian Restaurant,Hotel,French Restaurant,Food & Drink Shop,Food,Asian Restaurant,Clothing Store,Plaza,Bakery
387,465,Japanese Restaurant,Food & Drink Shop,Clothing Store,Plaza,Bakery,Italian Restaurant,Hotel,Food,Restaurant,
388,466,Food & Drink Shop,Bar,,,,,,,,
389,467,Asian Restaurant,Outdoors & Recreation,Coffee Shop,,,,,,,
390,468,Italian Restaurant,Food,Asian Restaurant,French Restaurant,Bakery,Coffee Shop,Restaurant,Food & Drink Shop,Shop & Service,Outdoors & Recreation
391,469,Food,Shop & Service,French Restaurant,Food & Drink Shop,Plaza,Bakery,Hotel,,,
392,470,French Restaurant,Shop & Service,Hotel,Athletics & Sports,Bakery,Food,Asian Restaurant,,,
393,471,Asian Restaurant,Food & Drink Shop,Bakery,Hotel,Bar,French Restaurant,Food,Restaurant,,
394,472,Hotel,Asian Restaurant,Food & Drink Shop,Food,Bakery,Bar,French Restaurant,Restaurant,,
395,473,Bakery,French Restaurant,Food,,,,,,,
396,474,French Restaurant,Food,Italian Restaurant,Asian Restaurant,Bakery,Café,Food & Drink Shop,,,
397,475,French Restaurant,Café,Hotel,Plaza,Bakery,Food & Drink Shop,Food,Restaurant,,
398,476,French Restaurant,Outdoors & Recreation,Hotel,,,,,,,
399,477,French Restaurant,Bakery,Outdoors & Recreation,Italian Restaurant,Café,Food,,,,
400,478,French Restaurant,,,,,,,,,
401,479,French Restaurant,Shop & Service,Bar,Nightlife Spot,Hotel,Chinese Restaurant,,,,
402,480,French Restaurant,Bar,Shop & Service,Plaza,Nightlife Spot,Café,Chinese Restaurant,Coffee Shop,,
403,481,French Restaurant,Dessert Shop,Italian Restaurant,Athletics & Sports,Chinese Restaurant,Coffee Shop,Asian Restaurant,Japanese Restaurant,Plaza,
404,482,Japanese Restaurant,Hotel,French Restaurant,Plaza,Italian Restaurant,,,,,
405,483,Hotel,French Restaurant,Bar,Shop & Service,Bakery,Nightlife Spot,Japanese Restaurant,Chinese Restaurant,,
406,484,Hotel,French Restaurant,Plaza,Bakery,Japanese Restaurant,Restaurant,,,,
407,485,French Restaurant,Shop & Service,Plaza,Bakery,Nightlife Spot,Hotel,,,,
408,486,Hotel,Italian Restaurant,French Restaurant,Asian Restaurant,Bar,Food,Coffee Shop,,,
409,487,Hotel,Italian Restaurant,Food,Asian Restaurant,French Restaurant,Food & Drink Shop,Bar,Nightlife Spot,Restaurant,Department Store
410,488,French Restaurant,Food,Italian Restaurant,Bakery,Bar,Restaurant,Food & Drink Shop,Dessert Shop,Department Store,Asian Restaurant
411,489,French Restaurant,Food,Asian Restaurant,Breakfast Spot,Italian Restaurant,Restaurant,,,,
412,490,Bakery,Breakfast Spot,Italian Restaurant,French Restaurant,,,,,,
413,491,Hotel,Food,Asian Restaurant,French Restaurant,Plaza,Italian Restaurant,Restaurant,Bar,Café,
414,492,Hotel,French Restaurant,Italian Restaurant,Asian Restaurant,Food,Restaurant,,,,
415,493,Athletics & Sports,Bakery,Hotel,Food,,,,,,
416,494,Athletics & Sports,Bakery,Clothing Store,,,,,,,
417,496,Restaurant,,,,,,,,,
418,497,Asian Restaurant,Bar,French Restaurant,Restaurant,,,,,,
419,498,Asian Restaurant,Outdoors & Recreation,French Restaurant,,,,,,,
420,499,French Restaurant,Bakery,,,,,,,,
421,500,French Restaurant,Bakery,,,,,,,,
422,501,Asian Restaurant,Japanese Restaurant,Bakery,Clothing Store,Food & Drink Shop,Shop & Service,Dessert Shop,Plaza,,
423,502,Shop & Service,Hotel,Coffee Shop,Restaurant,Food & Drink Shop,French Restaurant,Asian Restaurant,Plaza,Japanese Restaurant,
424,503,Hotel,French Restaurant,Restaurant,Shop & Service,Outdoors & Recreation,Bar,Japanese Restaurant,Food & Drink Shop,,
425,504,Hotel,French Restaurant,Restaurant,Outdoors & Recreation,Japanese Restaurant,Italian Restaurant,Food & Drink Shop,,,
426,505,Italian Restaurant,Asian Restaurant,Coffee Shop,Outdoors & Recreation,Hotel,French Restaurant,Food & Drink Shop,Restaurant,,
427,506,Hotel,French Restaurant,Asian Restaurant,Bakery,Food & Drink Shop,Food,,,,
428,507,Hotel,Asian Restaurant,Bakery,Food,Food & Drink Shop,French Restaurant,Athletics & Sports,Shop & Service,Japanese Restaurant,Nightlife Spot
429,508,Hotel,Asian Restaurant,Bakery,French Restaurant,Food & Drink Shop,Athletics & Sports,Bar,Coffee Shop,Creperie,Food
430,509,French Restaurant,Hotel,Dessert Shop,Bakery,Creperie,Food & Drink Shop,Athletics & Sports,Bar,Coffee Shop,Food
431,510,Shop & Service,Hotel,Bakery,Food,Food & Drink Shop,Asian Restaurant,,,,
432,511,Food,Bakery,Italian Restaurant,,,,,,,
433,512,Plaza,Creperie,,,,,,,,
434,513,French Restaurant,Italian Restaurant,Plaza,Bakery,Café,Food,,,,
435,514,French Restaurant,Italian Restaurant,Bakery,Café,Chinese Restaurant,Food,,,,
436,515,French Restaurant,Plaza,,,,,,,,
437,516,French Restaurant,Shop & Service,Plaza,Nightlife Spot,Bar,Café,,,,
438,517,French Restaurant,Shop & Service,Italian Restaurant,Bar,Café,Restaurant,Dessert Shop,Nightlife Spot,Plaza,
439,518,Italian Restaurant,Restaurant,Japanese Restaurant,French Restaurant,Dessert Shop,Food & Drink Shop,Athletics & Sports,Bakery,Bar,Chinese Restaurant
440,519,Hotel,French Restaurant,Bakery,Bar,Japanese Restaurant,Italian Restaurant,Food,Restaurant,Chinese Restaurant,
441,520,Hotel,French Restaurant,Bakery,Bar,Japanese Restaurant,Food,Restaurant,,,
442,521,French Restaurant,Shop & Service,Hotel,Bakery,Nightlife Spot,Clothing Store,Restaurant,,,
443,522,French Restaurant,Shop & Service,Hotel,Asian Restaurant,Italian Restaurant,Bakery,Food,,,
444,523,Hotel,Shop & Service,Japanese Restaurant,Italian Restaurant,French Restaurant,Food,Coffee Shop,Nightlife Spot,Clothing Store,
445,524,Hotel,French Restaurant,Bakery,Food,Japanese Restaurant,Italian Restaurant,Shop & Service,Food & Drink Shop,Coffee Shop,Restaurant
446,525,French Restaurant,Food,Food & Drink Shop,Bakery,Bar,Restaurant,Dessert Shop,Plaza,Japanese Restaurant,
447,526,French Restaurant,Hotel,Food,Dessert Shop,Breakfast Spot,Japanese Restaurant,Café,Restaurant,,
448,527,French Restaurant,Bakery,Italian Restaurant,Hotel,,,,,,
449,528,Asian Restaurant,Italian Restaurant,Hotel,French Restaurant,Plaza,Japanese Restaurant,Restaurant,Café,Bakery,Bar
450,529,French Restaurant,Food,Hotel,Plaza,Restaurant,Café,Bar,Japanese Restaurant,Italian Restaurant,
451,530,Food,Bakery,French Restaurant,Restaurant,,,,,,
452,532,Hotel,,,,,,,,,
453,533,Bakery,,,,,,,,,
454,534,Bakery,Japanese Restaurant,Hotel,Restaurant,,,,,,
455,535,French Restaurant,Creperie,Bakery,Outdoors & Recreation,Bar,Hotel,Food,,,
456,536,French Restaurant,Food,Creperie,Bakery,Outdoors & Recreation,Bar,,,,
457,537,Bakery,French Restaurant,Dessert Shop,Hotel,Athletics & Sports,Café,Food & Drink Shop,Asian Restaurant,,
458,538,French Restaurant,Asian Restaurant,Hotel,Bakery,Café,Food & Drink Shop,Shop & Service,Dessert Shop,,
459,539,French Restaurant,Coffee Shop,Shop & Service,Food & Drink Shop,Restaurant,,,,,
460,540,Hotel,French Restaurant,Restaurant,Coffee Shop,Shop & Service,Outdoors & Recreation,Bar,Japanese Restaurant,Food & Drink Shop,Food
461,541,Hotel,French Restaurant,Japanese Restaurant,Food,Restaurant,Bakery,Outdoors & Recreation,Bar,Food & Drink Shop,
462,542,Italian Restaurant,Food & Drink Shop,Food,,,,,,,
463,543,Hotel,Asian Restaurant,Plaza,Outdoors & Recreation,Nightlife Spot,Japanese Restaurant,Italian Restaurant,French Restaurant,Bakery,Food
464,544,Hotel,French Restaurant,Asian Restaurant,Plaza,Food,Café,Outdoors & Recreation,Nightlife Spot,Bakery,Food & Drink Shop
465,545,Hotel,French Restaurant,Bakery,Creperie,Dessert Shop,Coffee Shop,Athletics & Sports,Bar,Café,Italian Restaurant
466,546,French Restaurant,Bar,Shop & Service,Hotel,Athletics & Sports,Creperie,Restaurant,Dessert Shop,,
467,547,French Restaurant,Dessert Shop,Restaurant,Food & Drink Shop,Asian Restaurant,Plaza,,,,
468,548,Café,,,,,,,,,
469,549,French Restaurant,Italian Restaurant,Hotel,Dessert Shop,Plaza,Japanese Restaurant,Food,Café,,
470,550,French Restaurant,Italian Restaurant,Hotel,Food,Bakery,Café,Coffee Shop,,,
471,551,French Restaurant,Italian Restaurant,Hotel,Food,Asian Restaurant,Café,Chinese Restaurant,Coffee Shop,,
472,552,French Restaurant,Plaza,Asian Restaurant,Italian Restaurant,Hotel,Café,Food,Chinese Restaurant,,
473,553,Plaza,French Restaurant,Shop & Service,,,,,,,
474,554,French Restaurant,Restaurant,Clothing Store,Shop & Service,Plaza,Italian Restaurant,Café,Food,,
475,555,Restaurant,French Restaurant,Clothing Store,Japanese Restaurant,Hotel,Food,Shop & Service,Plaza,Café,
476,556,Hotel,French Restaurant,Food,Shop & Service,Bar,Restaurant,Chinese Restaurant,,,
477,557,French Restaurant,Hotel,Shop & Service,Bar,Chinese Restaurant,Clothing Store,Food,Dessert Shop,Japanese Restaurant,Nightlife Spot
478,558,French Restaurant,Hotel,Shop & Service,Clothing Store,Nightlife Spot,Japanese Restaurant,Italian Restaurant,Restaurant,,
479,559,Hotel,French Restaurant,Italian Restaurant,Clothing Store,Asian Restaurant,Bakery,Outdoors & Recreation,Japanese Restaurant,Creperie,
480,560,French Restaurant,Food,Shop & Service,Italian Restaurant,Hotel,Clothing Store,Bakery,Outdoors & Recreation,Japanese Restaurant,Restaurant
481,561,French Restaurant,Food,Shop & Service,Japanese Restaurant,Italian Restaurant,Restaurant,Plaza,Bakery,Hotel,
482,562,French Restaurant,Restaurant,Bar,Japanese Restaurant,Hotel,Food,,,,
483,563,Food,Hotel,French Restaurant,Bakery,Bar,Japanese Restaurant,Chinese Restaurant,Restaurant,,
484,564,Food,Bakery,Italian Restaurant,Hotel,Restaurant,Pharmacy,Bar,Japanese Restaurant,French Restaurant,
485,565,Japanese Restaurant,Hotel,Italian Restaurant,Food,Pharmacy,Bakery,French Restaurant,Food & Drink Shop,,
486,566,Hotel,French Restaurant,Food,,,,,,,
487,567,Hotel,French Restaurant,Food,Restaurant,,,,,,
488,569,Bar,Café,Hotel,,,,,,,
489,570,Bakery,,,,,,,,,
490,571,Bakery,Plaza,Café,Hotel,Food & Drink Shop,Restaurant,,,,
491,572,Bakery,Hotel,French Restaurant,Food & Drink Shop,,,,,,
492,573,Hotel,French Restaurant,Food,Bakery,Outdoors & Recreation,,,,,
493,574,French Restaurant,Food,Creperie,Athletics & Sports,Bar,Hotel,,,,
494,575,Asian Restaurant,Athletics & Sports,Bakery,Café,Hotel,French Restaurant,,,,
495,576,French Restaurant,Asian Restaurant,Bakery,Café,Hotel,,,,,
496,577,French Restaurant,Bar,Hotel,,,,,,,
497,578,Food,Bar,Japanese Restaurant,Hotel,French Restaurant,Coffee Shop,,,,
498,579,Bar,French Restaurant,Bakery,Italian Restaurant,Hotel,Food,,,,
499,580,French Restaurant,Bakery,Italian Restaurant,,,,,,,
500,581,Italian Restaurant,Plaza,Outdoors & Recreation,Japanese Restaurant,Hotel,Restaurant,,,,
501,582,Hotel,Italian Restaurant,Plaza,French Restaurant,Food,Café,Asian Restaurant,Japanese Restaurant,,
502,583,Plaza,French Restaurant,Café,Italian Restaurant,Hotel,,,,,
503,584,,,,,,,,,,
504,585,Plaza,,,,,,,,,
505,586,French Restaurant,Plaza,Hotel,Dessert Shop,Café,Food & Drink Shop,Chinese Restaurant,Coffee Shop,,
506,587,French Restaurant,Hotel,Food,Italian Restaurant,Dessert Shop,Coffee Shop,Japanese Restaurant,Food & Drink Shop,Café,Chinese Restaurant
507,588,French Restaurant,Food,Italian Restaurant,Hotel,Café,Dessert Shop,Japanese Restaurant,,,
508,589,French Restaurant,Italian Restaurant,Coffee Shop,Food,Dessert Shop,Hotel,Asian Restaurant,,,
509,591,Plaza,Café,,,,,,,,
510,592,Clothing Store,French Restaurant,Shop & Service,Bar,Café,Hotel,Restaurant,,,
511,593,Clothing Store,Food,Hotel,French Restaurant,Shop & Service,Bar,Japanese Restaurant,Italian Restaurant,Restaurant,
512,594,Food,Hotel,Shop & Service,Italian Restaurant,Restaurant,Bar,Breakfast Spot,Japanese Restaurant,French Restaurant,Chinese Restaurant
513,595,Shop & Service,Hotel,Italian Restaurant,Food,French Restaurant,Dessert Shop,Japanese Restaurant,Clothing Store,Athletics & Sports,Breakfast Spot
514,596,Hotel,Shop & Service,French Restaurant,Clothing Store,Dessert Shop,Coffee Shop,Athletics & Sports,Bakery,Café,Restaurant
515,597,Hotel,French Restaurant,Restaurant,Asian Restaurant,Bakery,Outdoors & Recreation,Nightlife Spot,Food,,
516,598,French Restaurant,Hotel,Food,Bakery,Outdoors & Recreation,Japanese Restaurant,Restaurant,,,
517,599,French Restaurant,Food,Bakery,Italian Restaurant,Hotel,Restaurant,,,,
518,600,French Restaurant,Japanese Restaurant,Bar,Café,Hotel,Restaurant,,,,
519,601,French Restaurant,Bakery,Food,Athletics & Sports,Bar,Japanese Restaurant,Café,Hotel,Chinese Restaurant,
520,602,French Restaurant,Food,Bakery,Dessert Shop,Athletics & Sports,Bar,Chinese Restaurant,Food & Drink Shop,Restaurant,
521,603,French Restaurant,Food,Dessert Shop,Athletics & Sports,Bakery,Bar,Japanese Restaurant,Hotel,Food & Drink Shop,Restaurant
522,604,Plaza,Bakery,Hotel,French Restaurant,Restaurant,,,,,
523,605,Plaza,Bakery,Italian Restaurant,French Restaurant,Food & Drink Shop,,,,,
524,606,Plaza,Italian Restaurant,Food & Drink Shop,Restaurant,,,,,,
525,607,Plaza,Café,Hotel,,,,,,,
526,608,Bar,Café,Hotel,,,,,,,
527,609,Athletics & Sports,Bar,,,,,,,,
528,610,Plaza,Athletics & Sports,Bakery,,,,,,,
529,611,Plaza,Athletics & Sports,Bakery,Italian Restaurant,Hotel,Café,Food,Restaurant,,
530,612,Café,Italian Restaurant,Food,Restaurant,,,,,,
531,614,French Restaurant,Food & Drink Shop,Shop & Service,Hotel,,,,,,
532,615,French Restaurant,Food & Drink Shop,Shop & Service,Plaza,Food,,,,,
533,616,Plaza,Outdoors & Recreation,Food,,,,,,,
534,617,Pharmacy,Japanese Restaurant,French Restaurant,Food,,,,,,
535,618,Food,Shop & Service,Japanese Restaurant,Athletics & Sports,Bakery,Bar,Asian Restaurant,,,
536,619,Asian Restaurant,Athletics & Sports,Bar,Italian Restaurant,Chinese Restaurant,French Restaurant,Food,Restaurant,,
537,620,Hotel,Restaurant,Food & Drink Shop,Shop & Service,Athletics & Sports,Café,Food,Asian Restaurant,Italian Restaurant,
538,621,Hotel,Café,Italian Restaurant,French Restaurant,Dessert Shop,Athletics & Sports,Bakery,Food & Drink Shop,Restaurant,
539,622,Hotel,Italian Restaurant,French Restaurant,Dessert Shop,Bakery,Café,Food,Asian Restaurant,Japanese Restaurant,
540,623,Bar,Italian Restaurant,French Restaurant,,,,,,,
541,624,,,,,,,,,,
542,625,Hotel,French Restaurant,,,,,,,,
543,626,Hotel,French Restaurant,Coffee Shop,Food & Drink Shop,Shop & Service,Plaza,Japanese Restaurant,Café,Chinese Restaurant,
544,627,French Restaurant,Dessert Shop,Food & Drink Shop,Hotel,Bar,Italian Restaurant,Café,Coffee Shop,Asian Restaurant,Plaza
545,628,Dessert Shop,Hotel,Food & Drink Shop,French Restaurant,Bar,Café,Creperie,Asian Restaurant,Italian Restaurant,
546,629,French Restaurant,Hotel,Bakery,Shop & Service,Bar,Coffee Shop,Creperie,Food & Drink Shop,Dessert Shop,Italian Restaurant
547,630,French Restaurant,,,,,,,,,
548,632,Clothing Store,French Restaurant,Hotel,Shop & Service,Plaza,Bar,,,,
549,633,Clothing Store,Hotel,French Restaurant,Shop & Service,Plaza,Bar,Japanese Restaurant,Italian Restaurant,Food,
550,634,Clothing Store,Food,Italian Restaurant,French Restaurant,Breakfast Spot,Hotel,Restaurant,,,
551,635,Shop & Service,Hotel,Italian Restaurant,French Restaurant,Food,Clothing Store,Coffee Shop,Athletics & Sports,Breakfast Spot,Restaurant
552,636,Hotel,Shop & Service,French Restaurant,Athletics & Sports,Bakery,Café,Clothing Store,Coffee Shop,Department Store,Dessert Shop
553,637,Hotel,Café,French Restaurant,,,,,,,
554,638,Hotel,Bar,French Restaurant,Asian Restaurant,Café,Italian Restaurant,Restaurant,,,
555,639,Bar,Café,Hotel,French Restaurant,,,,,,
556,640,Café,French Restaurant,Athletics & Sports,,,,,,,
557,641,Athletics & Sports,Bakery,French Restaurant,,,,,,,
558,642,French Restaurant,Dessert Shop,Athletics & Sports,Bakery,Food,,,,,
559,643,French Restaurant,Bakery,Italian Restaurant,Hotel,Food,Dessert Shop,Athletics & Sports,Café,,
560,644,Bakery,Italian Restaurant,French Restaurant,Plaza,Bar,Hotel,Restaurant,,,
561,645,Plaza,Bakery,Bar,Italian Restaurant,Hotel,French Restaurant,Food & Drink Shop,,,
562,646,Plaza,Bakery,Italian Restaurant,Restaurant,,,,,,
563,647,Plaza,Café,Restaurant,,,,,,,
564,649,Hotel,,,,,,,,,
565,650,Athletics & Sports,,,,,,,,,
566,651,Athletics & Sports,Food & Drink Shop,,,,,,,,
567,652,Food & Drink Shop,Athletics & Sports,Italian Restaurant,,,,,,,
568,653,Athletics & Sports,Bakery,Café,Italian Restaurant,,,,,,
569,654,Bakery,Café,,,,,,,,
570,655,Food & Drink Shop,Shop & Service,Bakery,,,,,,,
571,656,Shop & Service,Bakery,Food & Drink Shop,Plaza,Outdoors & Recreation,,,,,
572,657,Plaza,Asian Restaurant,Outdoors & Recreation,Food,,,,,,
573,658,Pharmacy,Japanese Restaurant,French Restaurant,,,,,,,
574,659,French Restaurant,Shop & Service,Pharmacy,Bakery,Bar,Japanese Restaurant,Hotel,Chinese Restaurant,,
575,660,French Restaurant,Hotel,Shop & Service,Athletics & Sports,Bakery,Bar,Chinese Restaurant,Restaurant,Food,Asian Restaurant
576,661,Hotel,Food,Shop & Service,Café,French Restaurant,Food & Drink Shop,Restaurant,,,
577,662,Hotel,French Restaurant,Food,Shop & Service,Bakery,Bar,Café,,,
578,663,French Restaurant,Dessert Shop,Bakery,Bar,Café,Hotel,Food & Drink Shop,,,
579,664,Hotel,Bar,French Restaurant,Food & Drink Shop,,,,,,
580,665,Hotel,Bakery,Bar,French Restaurant,Food,,,,,
581,666,Hotel,French Restaurant,Bakery,Italian Restaurant,Food,,,,,
582,667,Hotel,French Restaurant,Italian Restaurant,Shop & Service,Coffee Shop,Japanese Restaurant,Food & Drink Shop,,,
583,668,Hotel,Dessert Shop,French Restaurant,Italian Restaurant,Bar,Café,Coffee Shop,Food & Drink Shop,Shop & Service,Japanese Restaurant
584,669,French Restaurant,Hotel,Asian Restaurant,Creperie,Bar,Café,Italian Restaurant,Coffee Shop,,
585,670,French Restaurant,Hotel,Bar,Bakery,Creperie,Food,Restaurant,,,
586,671,French Restaurant,Hotel,Bakery,Restaurant,Dessert Shop,Bar,Food,Asian Restaurant,,
587,672,Asian Restaurant,Plaza,Outdoors & Recreation,Restaurant,,,,,,
588,673,Hotel,Plaza,Outdoors & Recreation,French Restaurant,,,,,,
589,674,Clothing Store,French Restaurant,Shop & Service,Hotel,Japanese Restaurant,Food,Asian Restaurant,Plaza,,
590,675,Clothing Store,Shop & Service,French Restaurant,Food,Hotel,Bar,Asian Restaurant,Plaza,Japanese Restaurant,
591,676,Shop & Service,French Restaurant,Bakery,Japanese Restaurant,Department Store,Plaza,Bar,Italian Restaurant,Café,Food
592,677,Hotel,French Restaurant,Food,Coffee Shop,Japanese Restaurant,Restaurant,,,,
593,678,Hotel,Food,French Restaurant,Shop & Service,Bakery,Clothing Store,Restaurant,Asian Restaurant,Italian Restaurant,Japanese Restaurant
594,679,French Restaurant,Asian Restaurant,Italian Restaurant,Bar,Food,Food & Drink Shop,Hotel,Shop & Service,,
595,680,French Restaurant,Bar,Café,Hotel,Food & Drink Shop,Food,,,,
596,681,Outdoors & Recreation,French Restaurant,Food & Drink Shop,Clothing Store,,,,,,
597,682,Outdoors & Recreation,Italian Restaurant,,,,,,,,
598,683,Italian Restaurant,,,,,,,,,
599,684,Italian Restaurant,Café,Bakery,French Restaurant,Japanese Restaurant,Hotel,Food,Chinese Restaurant,,
600,685,Italian Restaurant,Hotel,French Restaurant,Bakery,Café,Bar,Japanese Restaurant,,,
601,686,Hotel,Bar,Italian Restaurant,French Restaurant,Food,,,,,
602,687,Italian Restaurant,,,,,,,,,
603,690,Hotel,French Restaurant,,,,,,,,
604,691,Athletics & Sports,,,,,,,,,
605,692,Athletics & Sports,Bakery,Japanese Restaurant,Food & Drink Shop,,,,,,
606,693,Food & Drink Shop,Japanese Restaurant,Coffee Shop,,,,,,,
607,694,Bakery,Café,Coffee Shop,Food,,,,,,
608,695,Bakery,Outdoors & Recreation,Café,Food & Drink Shop,Food,,,,,
609,696,Shop & Service,,,,,,,,,
610,697,Shop & Service,Bakery,Asian Restaurant,Plaza,,,,,,
611,698,Asian Restaurant,Plaza,Bakery,,,,,,,
612,699,French Restaurant,,,,,,,,,
613,700,French Restaurant,Bar,,,,,,,,
614,701,Hotel,French Restaurant,Dessert Shop,Café,Food,Bar,,,,
615,702,Food,Hotel,Café,Shop & Service,Dessert Shop,,,,,
616,703,Hotel,Shop & Service,Bar,Café,French Restaurant,Food,,,,
617,704,Dessert Shop,Plaza,Café,French Restaurant,Food & Drink Shop,Food,,,,
618,705,Hotel,Dessert Shop,Food,Food & Drink Shop,Asian Restaurant,Plaza,,,,
619,706,Hotel,Asian Restaurant,Bakery,French Restaurant,Food & Drink Shop,Food,,,,
620,707,French Restaurant,Plaza,Bakery,Hotel,Food & Drink Shop,Food,,,,
621,708,Plaza,Italian Restaurant,Hotel,French Restaurant,Café,,,,,
622,709,Hotel,French Restaurant,Plaza,Café,Coffee Shop,,,,,
623,710,French Restaurant,Plaza,Hotel,Bar,,,,,,
624,711,French Restaurant,Hotel,Plaza,Bar,Food,Dessert Shop,Restaurant,,,
625,712,French Restaurant,Restaurant,Dessert Shop,Hotel,Food,Asian Restaurant,Plaza,,,
626,713,Plaza,Asian Restaurant,Outdoors & Recreation,Food,Restaurant,,,,,
627,714,Outdoors & Recreation,French Restaurant,Plaza,,,,,,,
628,715,French Restaurant,Plaza,Outdoors & Recreation,Hotel,,,,,,
629,716,French Restaurant,Plaza,Japanese Restaurant,Shop & Service,Outdoors & Recreation,Nightlife Spot,Italian Restaurant,Hotel,Bakery,
630,717,French Restaurant,Bakery,Japanese Restaurant,Italian Restaurant,Asian Restaurant,Plaza,Outdoors & Recreation,Hotel,Bar,Creperie
631,718,Hotel,French Restaurant,Asian Restaurant,Bar,Japanese Restaurant,Food,Clothing Store,Bakery,Italian Restaurant,Restaurant
632,719,French Restaurant,Food,Bar,Japanese Restaurant,Hotel,Food & Drink Shop,Asian Restaurant,Coffee Shop,Bakery,Creperie
633,720,French Restaurant,Shop & Service,Hotel,Bar,Food,Asian Restaurant,,,,
634,721,French Restaurant,Food & Drink Shop,Food,,,,,,,
635,722,French Restaurant,Outdoors & Recreation,Bar,Restaurant,,,,,,
636,723,Restaurant,Italian Restaurant,Hotel,,,,,,,
637,724,Dessert Shop,Italian Restaurant,Hotel,French Restaurant,Restaurant,,,,,
638,725,Japanese Restaurant,Italian Restaurant,Café,French Restaurant,Chinese Restaurant,Food,,,,
639,726,Hotel,French Restaurant,Japanese Restaurant,Café,Italian Restaurant,Chinese Restaurant,,,,
640,727,Hotel,French Restaurant,Japanese Restaurant,Food,Breakfast Spot,Café,,,,
641,728,Food,Italian Restaurant,,,,,,,,
642,729,Italian Restaurant,,,,,,,,,
643,730,Plaza,Japanese Restaurant,Hotel,,,,,,,
644,731,Plaza,Athletics & Sports,Japanese Restaurant,Hotel,,,,,,
645,732,Hotel,Athletics & Sports,Bar,French Restaurant,,,,,,
646,733,Italian Restaurant,Food & Drink Shop,,,,,,,,
647,734,Athletics & Sports,Food & Drink Shop,,,,,,,,
648,735,Athletics & Sports,Bakery,Japanese Restaurant,Food & Drink Shop,,,,,,
649,736,Hotel,Asian Restaurant,Coffee Shop,Japanese Restaurant,Italian Restaurant,French Restaurant,Food & Drink Shop,,,
650,737,Asian Restaurant,Italian Restaurant,Hotel,French Restaurant,Food & Drink Shop,Coffee Shop,,,,
651,738,Food,Bar,Hotel,,,,,,,
652,739,Food,Hotel,Asian Restaurant,Bakery,Bar,French Restaurant,Food & Drink Shop,Restaurant,,
653,740,Hotel,French Restaurant,Restaurant,,,,,,,
654,742,French Restaurant,Hotel,,,,,,,,
655,743,Dessert Shop,French Restaurant,Bar,Hotel,Food,,,,,
656,744,Dessert Shop,French Restaurant,Café,Hotel,Food,,,,,
657,745,Hotel,Café,Dessert Shop,French Restaurant,Food,,,,,
658,746,Café,,,,,,,,,
